ticker,company,industry,datereleased,fourmonthslater,numberofchanges,pricechange
PRU,Prudential Financial,Financials,3/10/04,7/8/04,132383,-0.027340327
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,3/15/04,7/13/04,391528,-0.014592754
NEM,News Corp. Class A,Consumer Discretionary,3/15/04,7/13/04,391528,-0.014592754
PRU,Prudential Financial,Financials,3/9/05,7/7/05,396337,0.147827558
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,3/15/05,7/13/05,167559,-0.15459865
NEM,News Corp. Class A,Consumer Discretionary,3/15/05,7/13/05,167559,-0.15459865
PRU,Prudential Financial,Financials,2/28/06,6/28/06,26492,-0.010643822
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,3/2/06,6/30/06,188805,-0.018825578
NEM,News Corp. Class A,Consumer Discretionary,3/2/06,6/30/06,188805,-0.018825578
UPS,United Parcel Service,Industrials,3/14/06,7/12/06,85,0.037923203
EL,Estee Lauder Cos.,Consumer Staples,8/25/06,12/23/06,7839,0.191929761
DHI,D. R. Horton,Consumer Discretionary,12/12/06,4/11/07,4502,-0.198378442
DHI,Danaher Corp.,Health Care,12/12/06,4/11/07,4502,-0.198378442
SBUX,Starbucks Corp.,Consumer Discretionary,12/14/06,4/13/07,2597,-0.159562813
BEN,Franklin Resources,Financials,12/20/06,4/19/07,5206,0.15740402
LUV,Southwest Airlines,Industrials,2/1/07,6/1/07,4696,-0.070707095
AJG,Arthur J. Gallagher & Co.,Financials,2/5/07,6/5/07,5527,0.017314137
GS,Goldman Sachs Group,Financials,2/6/07,6/6/07,10585,0.060859362
LEN,Lennar Corp.,Consumer Discretionary,2/8/07,6/8/07,8552,-0.190893587
TROW,T. Rowe Price Group,Financials,2/8/07,6/8/07,419,0.007439338
EXC,Exelon Corp.,Utilities,2/13/07,6/13/07,26056,0.14345677
HCP,HCP Inc.,Real Estate,2/13/07,6/13/07,10304,-0.245850846
MS,Morgan Stanley,Financials,2/13/07,6/13/07,9372,0.101180395
ISRG,Intuitive Surgical Inc.,Health Care,2/15/07,6/15/07,4271,0.247647728
AMZN,Amazon.com Inc,Consumer Discretionary,2/16/07,6/16/07,11767,0.795189646
BA,Boeing Company,Industrials,2/16/07,6/16/07,8193,0.08330757
